Borough,Address,Sale Date,Sale Price
MN,834 RIVERSIDE DRIVE,07/10/2019,0
MN,236 WEST 112 STREET,07/24/2019,0
BX,2110 HUGHES AVENUE,07/03/2019,150000
MN,575 WEST 181 STREET,07/25/2019,0
MN,555 WEST 183 STREET,07/12/2019,850010
MN,9 HILLSIDE AVENUE,07/19/2019,0
BX,2307 PROSPECT AVENUE,07/26/2019,670000
BX,705 EAST 183 STREET,07/29/2019,326250
MN,119 WEST 96 STREET,07/25/2019,300000
MN,875 WEST 181 STREET,07/24/2019,1273500
MN,875 WEST 181 STREET,07/29/2019,427908
MN,120 CABRINI BOULEVARD,07/10/2019,360000
BX,975 EAST 179 STREET,07/26/2019,0
MN,839 WEST END AVENUE,07/17/2019,1150000
BX,2092 GRAND CONCOURSE,07/30/2019,0
MN,320 RIVERSIDE DRIVE,07/17/2019,670000
MN,308 WEST 106 STREET,07/01/2019,425000
MN,310 WEST 106 STREET,07/26/2019,798000
MN,900 WEST 190 STREET,07/09/2019,846000
MN,300 WEST 108 STREET,07/09/2019,999500
MN,24 BENNETT AVENUE,07/02/2019,1050000
MN,100 OVERLOOK TERRACE,07/30/2019,887000
MN,100 OVERLOOK TERRACE,07/30/2019,887000
BX,55 EAST 190 STREET,07/08/2019,270000
MN,301 BROOME STREET,07/19/2019,0
BX,36 WEST 184 STREET,07/11/2019,0
MN,152 WEST 121 STREET,07/16/2019,0
BX,2133 GRAND AVENUE,07/18/2019,0
MN,WEST 131 STREET,07/12/2019,875000
MN,181 WEST 135 STREET,07/09/2019,849956
BX,2902 FENTON AVENUE,07/25/2019,0
MN,65 PARK TERRACE EAST,07/02/2019,522000
MN,75 PARK TERRACE EAST,07/01/2019,795000
MN,70 PARK TERRACE WEST,07/16/2019,300000
BX,3146 KINGSBRIDGE TERRACE,07/25/2019,235000
MN,271 WEST 132 STREET,07/01/2019,0
BX,3115 KINGSBRIDGE TERRACE,07/29/2019,0
MN,274 EAST 10 STREET,07/19/2019,0
BX,3042 RADCLIFF AVENUE,07/24/2019,0
BX,924 BURKE AVENUE,07/26/2019,0
MN,291 EAST 10 STREET,07/16/2019,31725000
BX,2843 BAINBRIDGE AVENUE,07/25/2019,350000
BX,306 MOSHOLU PARKWAY,07/09/2019,92000
MN,1264 AMSTERDAM AVENUE,07/26/2019,550000
MN,440 RIVERSIDE DRIVE,07/11/2019,525000
BX,203 EAST 205 STREET,07/08/2019,500000
BX,3327 RADCLIFF AVENUE,07/01/2019,0
BX,3535 HOLLAND AVENUE,07/22/2019,600000
BX,3245 PERRY AVENUE,07/25/2019,150000
BX,736 ELTON AVENUE,07/22/2019,0
BX,738 EAST 217 STREET,07/09/2019,658000
MN,71 EAST 3 STREET,07/11/2019,766000
MN,71 EAST 3 STREET,07/11/2019,31941
BX,3282 HULL AVENUE,07/17/2019,675000
BX,768 EAST 222 STREET,07/09/2019,298000
BX,3661 BRONXWOOD AVENUE,07/29/2019,445000
BX,851 EAST 218 STREET,07/03/2019,0
BX,4286 VAN CORTLANDT PARK E,07/25/2019,465000
MN,385 WEST 145 STREET,07/22/2019,710000
MN,385 WEST 145 STREET,07/17/2019,499000
BX,263 EAST 235 STREET,07/30/2019,1230000
BX,917 EAST 218 STREET,07/09/2019,0
